iter	CountErrors	MultiClass
0	0.85	0.8845961968
1	0.85	0.8846375564
2	0.85	0.884677189
3	0.8504166667	0.8847153009
4	0.8504166667	0.8847520559
5	0.8504166667	0.8847875874
6	0.8504166667	0.8848220064
7	0.8504166667	0.884855407
8	0.8504166667	0.8848878696
9	0.85125	0.8849194646
10	0.85125	0.8849502531
11	0.8508333333	0.8849802896
12	0.8508333333	0.8850096222
13	0.8508333333	0.8850382943
14	0.8508333333	0.8850663447
15	0.8508333333	0.8850938086
16	0.8508333333	0.8851207181
17	0.85125	0.8851471023
18	0.85125	0.8851729879
19	0.85125	0.8851983994
20	0.8508333333	0.8852233595
21	0.85125	0.885247889
22	0.85125	0.8852720072
23	0.8554166667	0.8852153496
24	0.8554166667	0.8852387925
25	0.8554166667	0.8852618749
26	0.8554166667	0.8852846112
27	0.8554166667	0.8853070149
28	0.8554166667	0.8853290989
29	0.8554166667	0.885350875
30	0.8579166667	0.8855378939
31	0.8579166667	0.8855588394
32	0.8579166667	0.8855795127
33	0.8579166667	0.8855999234
34	0.8575	0.88562008
35	0.8575	0.8856399909
36	0.8575	0.8856596638
37	0.8575	0.8856791063
38	0.8575	0.8856983254
39	0.8575	0.8857173277
40	0.8575	0.8857361198
41	0.8575	0.8857547076
42	0.8575	0.885773097
43	0.8575	0.8857912934
44	0.8575	0.8858093023
45	0.7827083333	0.8620455453
46	0.7827083333	0.8622550915
47	0.7822916667	0.8624795297
48	0.7822916667	0.8626661279
49	0.7822916667	0.8628434681
50	0.7839583333	0.8629919939
51	0.7845833333	0.8631530869
52	0.7845833333	0.8633077412
53	0.7845833333	0.8634565748
54	0.7825	0.8635960187
55	0.7829166667	0.863734919
56	0.7825	0.8638811026
57	0.7829166667	0.8640111032
58	0.7858333333	0.8641106131
59	0.7825	0.8643438703
60	0.7829166667	0.8644621412
61	0.7833333333	0.8645773639
62	0.7845833333	0.8646897208
63	0.7858333333	0.8647993769
