iter	Passed	Remaining
0	167	83566
1	186	46320
2	202	33497
3	218	27125
4	235	23275
5	251	20693
6	268	18901
7	285	17558
8	301	16472
9	321	15771
10	340	15127
11	357	14524
12	376	14096
13	394	13702
14	411	13289
15	428	12975
16	446	12677
17	461	12361
18	477	12092
19	494	11866
20	511	11674
21	527	11468
22	546	11331
23	566	11229
24	585	11120
25	604	11014
26	621	10893
27	640	10797
28	660	10734
29	681	10671
30	700	10592
31	718	10503
32	738	10455
33	759	10408
34	776	10314
35	793	10227
36	810	10142
37	826	10053
38	843	9967
39	861	9905
40	880	9854
41	898	9799
42	915	9732
43	933	9672
44	950	9613
45	967	9551
46	985	9495
47	1003	9452
48	1021	9400
49	1095	9855
50	1155	10172
51	1186	10224
52	1219	10282
53	1249	10319
54	1278	10343
55	1303	10338
56	1327	10319
57	1347	10267
58	1365	10205
59	1385	10162
60	1405	10117
61	1424	10059
62	1440	9992
63	1458	9939
64	1477	9890
65	1495	9831
66	1512	9773
67	1528	9710
68	1546	9662
69	1564	9608
70	1582	9559
71	1599	9505
72	1615	9452
73	1633	9401
74	1649	9348
75	1673	9334
76	1690	9284
77	1706	9234
78	1724	9187
79	1741	9144
80	1760	9104
81	1779	9069
82	1797	9029
83	1814	8986
84	1831	8943
85	1848	8900
86	1866	8861
87	1885	8825
88	1903	8788
89	1920	8749
90	1937	8707
91	1953	8661
92	1970	8622
93	1986	8581
94	2002	8536
95	2019	8499
96	2035	8455
97	2051	8414
98	2069	8380
99	2085	8343
100	2124	8392
101	2142	8358
102	2159	8324
103	2177	8291
104	2195	8258
105	2212	8224
106	2228	8186
107	2246	8153
108	2263	8120
109	2282	8090
110	2299	8058
111	2316	8026
112	2338	8010
113	2357	7980
114	2374	7948
115	2392	7918
116	2409	7888
117	2427	7858
118	2449	7843
119	2469	7818
120	2486	7788
121	2503	7757
122	2521	7729
123	2540	7703
124	2558	7674
125	2575	7643
126	2592	7615
127	2609	7584
128	2627	7556
129	2645	7528
130	2662	7499
131	2679	7470
132	2696	7441
133	2714	7414
134	2731	7383
135	2748	7354
136	2765	7328
137	2785	7307
138	2805	7287
139	2825	7265
140	2843	7238
141	2860	7210
142	2876	7180
143	2892	7150
144	2908	7120
145	2925	7093
146	2943	7069
147	2962	7044
148	2979	7018
149	2995	6990
150	3034	7012
151	3051	6985
152	3068	6958
153	3084	6930
154	3101	6902
155	3117	6874
156	3133	6846
157	3149	6816
158	3165	6789
159	3182	6762
160	3200	6738
161	3217	6713
162	3237	6694
163	3257	6673
164	3274	6648
165	3291	6622
166	3309	6598
167	3326	6574
168	3344	6550
169	3362	6526
170	3379	6501
171	3396	6477
172	3414	6453
173	3431	6430
174	3450	6408
175	3467	6383
176	3484	6359
177	3502	6335
178	3521	6314
179	3537	6289
180	3555	6266
181	3573	6243
182	3590	6218
183	3608	6197
184	3626	6175
185	3644	6152
186	3662	6130
187	3679	6106
188	3697	6083
189	3714	6059
190	3731	6036
191	3747	6011
192	3765	5989
193	3782	5965
194	3799	5942
195	3816	5919
196	3836	5900
197	3852	5876
198	3870	5854
199	3888	5832
200	3925	5839
201	3943	5817
202	3962	5797
203	3980	5775
204	3999	5754
205	4017	5733
206	4033	5709
207	4049	5685
208	4066	5661
209	4082	5637
210	4098	5613
211	4114	5589
212	4131	5567
213	4150	5547
214	4169	5526
215	4186	5504
216	4203	5481
217	4220	5459
218	4237	5436
219	4254	5415
220	4277	5399
221	4295	5379
222	4313	5358
223	4331	5337
224	4349	5316
225	4368	5296
226	4386	5275
227	4403	5253
228	4421	5232
229	4439	5212
230	4457	5190
231	4475	5169
232	4494	5150
233	4513	5130
234	4530	5109
235	4547	5086
236	4564	5064
237	4582	5044
238	4599	5022
239	4615	5000
240	4631	4977
241	4648	4956
242	4667	4936
243	4686	4916
244	4703	4895
245	4721	4875
246	4739	4854
247	4757	4834
248	4776	4814
249	4794	4794
250	4835	4796
251	4854	4777
252	4872	4757
253	4890	4736
254	4907	4715
255	4928	4697
256	4945	4676
257	4964	4656
258	4984	4637
259	5001	4617
260	5024	4600
261	5046	4584
262	5069	4568
263	5087	4548
264	5105	4527
265	5125	4509
266	5144	4489
267	5163	4469
268	5182	4450
269	5200	4430
270	5219	4410
271	5237	4390
272	5256	4370
273	5276	4352
274	5296	4333
275	5315	4314
276	5334	4294
277	5352	4274
278	5372	4255
279	5389	4234
280	5406	4213
281	5425	4194
282	5443	4174
283	5461	4153
284	5480	4134
285	5499	4114
286	5517	4094
287	5536	4075
288	5554	4055
289	5572	4035
290	5590	4015
291	5609	3995
292	5627	3975
293	5645	3955
294	5663	3935
295	5681	3915
296	5699	3895
297	5720	3877
298	5739	3858
299	5757	3838
300	5798	3833
301	5817	3814
302	5836	3794
303	5855	3775
304	5874	3756
305	5893	3736
306	5910	3715
307	5928	3695
308	5946	3675
309	5964	3655
310	5982	3635
311	6000	3615
312	6021	3597
313	6040	3578
314	6058	3558
315	6076	3538
316	6093	3517
317	6114	3499
318	6133	3479
319	6151	3460
320	6168	3439
321	6186	3419
322	6203	3399
323	6226	3382
324	6246	3363
325	6266	3344
326	6289	3327
327	6309	3308
328	6332	3291
329	6355	3274
330	6378	3256
331	6398	3237
332	6421	3220
333	6441	3201
334	6460	3181
335	6478	3162
336	6498	3143
337	6517	3123
338	6537	3104
339	6556	3085
340	6575	3066
341	6594	3046
342	6616	3028
343	6635	3009
344	6652	2988
345	6670	2968
346	6689	2949
347	6706	2929
348	6725	2909
349	6744	2890
350	6788	2881
351	6807	2862
352	6826	2842
353	6843	2822
354	6861	2802
355	6879	2782
356	6897	2762
357	6916	2743
358	6934	2723
359	6954	2704
360	6973	2685
361	6993	2665
362	7015	2647
363	7033	2627
364	7051	2608
365	7070	2588
366	7089	2569
367	7107	2549
368	7125	2529
369	7143	2509
370	7162	2490
371	7181	2470
372	7199	2451
373	7218	2431
374	7237	2412
375	7254	2392
376	7273	2373
377	7292	2353
378	7310	2334
379	7329	2314
380	7348	2295
381	7367	2275
382	7386	2256
383	7404	2236
384	7423	2217
385	7442	2197
386	7460	2178
387	7479	2159
388	7499	2140
389	7520	2121
390	7539	2101
391	7558	2082
392	7579	2063
393	7598	2044
394	7618	2025
395	7637	2005
396	7656	1986
397	7676	1967
398	7694	1947
399	7712	1928
400	7754	1914
401	7772	1894
402	7791	1875
403	7810	1856
404	7830	1836
405	7848	1817
406	7868	1797
407	7887	1778
408	7906	1759
409	7925	1739
410	7945	1720
411	7963	1700
412	7986	1682
413	8006	1663
414	8026	1643
415	8044	1624
416	8063	1605
417	8085	1586
418	8104	1566
419	8124	1547
420	8142	1527
421	8160	1508
422	8179	1488
423	8198	1469
424	8216	1450
425	8235	1430
426	8253	1410
427	8271	1391
428	8290	1372
429	8308	1352
430	8328	1333
431	8347	1313
432	8368	1294
433	8388	1275
434	8407	1256
435	8426	1236
436	8444	1217
437	8463	1198
438	8482	1178
439	8500	1159
440	8519	1139
441	8538	1120
442	8557	1101
443	8576	1081
444	8594	1062
445	8614	1043
446	8633	1023
447	8651	1004
448	8670	984
449	8689	965
450	8731	948
451	8750	929
452	8769	909
453	8788	890
454	8808	871
455	8827	851
456	8847	832
457	8868	813
458	8887	793
459	8907	774
460	8926	755
461	8947	735
462	8967	716
463	8986	697
464	9006	677
465	9025	658
466	9043	639
467	9062	619
468	9079	600
469	9099	580
470	9119	561
471	9138	542
472	9157	522
473	9175	503
474	9194	483
475	9213	464
476	9232	445
477	9251	425
478	9271	406
479	9290	387
480	9309	367
481	9328	348
482	9347	329
483	9367	309
484	9386	290
485	9404	270
486	9424	251
487	9443	232
488	9462	212
489	9482	193
490	9501	174
491	9518	154
492	9538	135
493	9556	116
494	9576	96
